d,agent_energy0,pred_energy0,arm,n,captures,energy_deaths,censored_alive_at_10s,pred_sleep_before_agent_death,distinct_trajectories_norng,capture_time_uncensored_n,capture_time_uncensored_mean,capture_time_uncensored_std,capture_time_uncensored_median,capture_time_uncensored_min,capture_time_uncensored_max,min_separation_n,min_separation_mean,min_separation_std,min_separation_median,min_separation_min,min_separation_max,time_chase_n,time_chase_mean,time_chase_std,time_chase_median,time_chase_min,time_chase_max,time_circle_n,time_circle_mean,time_circle_std,time_circle_median,time_circle_min,time_circle_max,time_no_target_n,time_no_target_mean,time_no_target_std,time_no_target_median,time_no_target_min,time_no_target_max,time_sleep_n,time_sleep_mean,time_sleep_std,time_sleep_median,time_sleep_min,time_sleep_max,agent_turn_cost_n,agent_turn_cost_mean,agent_turn_cost_std,agent_turn_cost_median,agent_turn_cost_min,agent_turn_cost_max,agent_move_cost_n,agent_move_cost_mean,agent_move_cost_std,agent_move_cost_median,agent_move_cost_min,agent_move_cost_max,final_agent_energy_survivors_n,final_agent_energy_survivors_mean,final_agent_energy_survivors_std,final_agent_energy_survivors_median,final_agent_energy_survivors_min,final_agent_energy_survivors_max,final_separation_survivors_n,final_separation_survivors_mean,final_separation_survivors_std,final_separation_survivors_median,final_separation_survivors_min,final_separation_survivors_max
80,300,200,A10,3,3,0,0,0,1,3,1.4,0.0,1.4,1.4,1.4,3,10.0,0.0,10.0,10.0,10.0,3,1.4,0.0,1.4,1.4,1.4,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,7.0,0.0,7.0,7.0,7.0,0,,,,,,0,,,,,
80,300,200,F10,3,3,0,0,0,1,3,1.4,0.0,1.4,1.4,1.4,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,0.1,0.0,0.1,0.1,0.1,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,7.0,0.0,7.0,7.0,7.0,0,,,,,,0,,,,,
80,300,200,A15,3,0,0,3,0,1,0,,,,,,3,53.0,0.0,53.0,53.0,53.0,3,10.0,0.0,10.0,10.0,10.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,212.5,0.0,212.5,212.5,212.5,3,77.00000000000017,0.0,77.00000000000017,77.00000000000017,77.00000000000017,3,53.0,0.0,53.0,53.0,53.0
80,300,200,F15,3,0,0,3,0,1,0,,,,,,3,53.0,0.0,53.0,53.0,53.0,3,2.6,0.0,2.6,2.6,2.6,3,7.4,0.0,7.4,7.4,7.4,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,212.5,0.0,212.5,212.5,212.5,3,77.50000000000017,0.0,77.50000000000017,77.50000000000017,77.50000000000017,3,53.0,0.0,53.0,53.0,53.0
80,300,200,A20,3,0,0,3,0,3,0,,,,,,3,80.0,0.0,80.0,80.0,80.0,3,3.4,0.692820323027551,3.0,3.0,4.2,3,0.0,0.0,0.0,0.0,0.0,3,6.6,0.692820323027551,7.0,5.8,7.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,230.0,0.0,230.0,230.0,230.0,3,59.50000000000031,0.0,59.50000000000031,59.50000000000031,59.50000000000031,3,250.37973737864763,62.7397745148596,282.2287039483096,178.10357441602142,290.8069337716119
80,300,200,F20,3,0,0,3,0,3,0,,,,,,3,80.0,0.0,80.0,80.0,80.0,3,0.0,0.0,0.0,0.0,0.0,3,3.4,0.692820323027551,3.0,3.0,4.2,3,6.6,0.692820323027551,7.0,5.8,7.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,230.0,0.0,230.0,230.0,230.0,3,60.00000000000032,0.0,60.00000000000032,60.00000000000032,60.00000000000032,3,267.23733672076787,33.66908791880997,282.2287039483096,228.6763724423821,290.8069337716119
120,150,101,S0,3,3,0,0,0,1,3,0.8,0.0,0.8,0.8,0.8,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,0.3,0.0,0.3,0.3,0.3,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,
120,150,101,A10,3,3,0,0,0,1,3,2.2,0.0,2.2,2.2,2.2,3,10.0,0.0,10.0,10.0,10.0,3,2.2,0.0,2.2,2.2,2.2,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,11.0,0.0,11.0,11.0,11.0,0,,,,,,0,,,,,
120,150,101,F10,3,3,0,0,0,1,3,2.2,0.0,2.2,2.2,2.2,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,0.9,0.0,0.9,0.9,0.9,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,11.0,0.0,11.0,11.0,11.0,0,,,,,,0,,,,,
120,150,101,A15,3,3,0,0,0,1,3,9.0,0.0,9.0,9.0,9.0,3,14.0,0.0,14.0,14.0,14.0,3,9.0,0.0,9.0,9.0,9.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,85.0,0.0,85.0,85.0,85.0,0,,,,,,0,,,,,
